Phage,Host,Source
2938.039899,857.216314,Chicken
13728.43528,14142.66779,Chicken
8456.202854,54767.99447,Chicken
10813.58328,567.981458,Chicken
495.769101,592.171469,Chicken
3867.198865,1522.980757,Chicken
2287.503849,716.472381,Chicken
52008.02935,44852.36399,Chicken
377084.5585,630763.4564,Chicken
57196.28265,80372.3194,Chicken
105286.2739,98028.83581,Chicken
21514.86238,14618.25462,Chicken
115590.7832,95575.62211,Chicken
153454.7153,456038.4548,Chicken
15291.12626,81229.02267,Chicken
24353.65534,1261.961607,Chicken
178789.5866,260025.0477,Chicken
132853.3143,73577.20209,Chicken
2759.908163,737.300203,Chicken
855.14285,368.433597,Chicken
465.691985,325.573709,Chicken
5107.566418,2941.092544,Chicken
